date,noncomm_net,comm_net,nonrept_net,noncomm_idx,comm_idx,nonrept_idx
2015-06-30,30939,-40188,9249,25.278784499581825,74.56080576809507,27.62981670684575
2015-07-07,28918,-37779,8861,23.998276604911677,76.12418796929047,26.887460299238512
2015-07-14,54889,-61004,6115,40.453531692728795,61.05172984444055,21.633566754677993
2015-07-21,85637,-91832,6195,59.935499404414934,41.04511029340186,21.78662993150423
2015-07-28,90166,-104020,13854,62.80507894670147,33.1353957777648,36.4405158229059
2015-08-04,78979,-90852,11873,55.71698304483362,41.68110637358929,32.65028890674626
2015-08-11,61800,-72375,10575,44.83234913956966,53.67222838749035,30.166838862740597
2015-08-18,73878,-83429,9551,52.48498365309071,46.49845219321301,28.20763019936479
2015-08-25,11429,-14730,3301,12.917226347669615,91.08242638994348,16.249569509815178
2015-09-01,-6109,5726,383,1.8051296347923056,100.0,10.666590135078254
2015-09-08,-5783,9993,-4210,2.01168360493702,100.0,1.8788504955420349
2015-09-15,-616,3675,-3059,5.2855006716172035,96.17255605163838,4.081046952129491
2015-09-22,9036,-6129,-2907,11.401018830625745,90.23329355247137,4.371866988099338
2015-09-29,2044,-2596,552,6.970879691816408,92.373584699917,10.989936096123675
2015-10-06,9535,-3433,-6102,11.717185797196949,91.86653015974944,0.0
2015-10-13,11758,-10415,-1343,13.12568112122057,87.63683505885346,8.949526102000902
2015-10-20,30050,-30809,759,24.715513090199458,75.28215131670615,12.902437189709643
2015-10-27,56817,-56895,78,41.67511468180551,59.47925438144798,11.621784263577554
2015-11-03,70141,-71916,1775,50.117216210051446,50.37953365521503,14.813073567022718
2015-11-10,81564,-90701,9137,57.35484197987683,38.99958199804932,28.65766511208064
2015-11-17,68867,-77609,8742,48.37816736461069,46.93071466217567,27.914848803971715
2015-11-24,55220,-63436,8216,39.57245820401474,55.516717049027385,26.925680758236798
2015-12-01,56761,-64999,8238,40.56678646784403,54.569851760757494,26.967052805777044
2015-12-08,53998,-62678,8680,38.78396427903135,55.975913394842216,27.79825485181285
2015-12-15,61517,-71440,9923,43.6355893379103,50.66789442118846,30.13577553783662
2015-12-22,47889,-60015,12126,34.842139902825544,57.58915860447929,34.27862193470739
2015-12-29,60919,-70688,9769,43.24973060866311,51.12345596743219,29.84617120505491
2016-01-05,35965,-41999,6034,27.14819427148194,68.50325011661648,22.822325861290807
2016-01-12,33230,-40849,7619,25.383439046580506,69.19992003440943,25.80299383180382
2016-01-19,29078,-34246,5168,22.70436639802812,73.200016962398,21.19377162629758
2016-01-26,30291,-30749,458,23.487053084611464,75.31849931241707,12.336392357454491
2016-02-02,21742,-17841,-3901,17.970821853283347,83.13816478969656,4.139085301639837
2016-02-09,9623,-9139,-484,10.151052723272185,88.40983576763938,10.564916503685874
2016-02-16,-369,7883,-7514,3.703727601804115,98.72176215083206,0.0
2016-02-23,2872,6480,-9352,5.794978674530098,97.87182485112467,0.0
2016-03-01,13899,-9186,-4713,12.910136212002916,88.38136317099915,8.221387303725233
2016-03-08,6781,-2622,-4159,8.317255886281368,92.3578339017756,9.203204196646936
2016-03-15,-4402,7465,-3063,1.101439549874499,98.46853778071254,11.1455711905859
2016-03-22,7963,-5698,-2265,9.079939862820124,90.49439332166159,12.559812852231241
2016-03-29,21130,-23554,2424,17.57592964208054,79.67722979808688,20.869811788891646
2016-04-05,29292,-31548,2256,22.84244962220688,74.8344651695331,20.57207670222947
2016-04-12,38115,-43102,4987,28.535479000380697,67.83505279546377,25.41204409314855
2016-04-19,50490,-53857,3367,36.52043180043748,61.3196745642784,22.541027186048986
2016-04-26,36814,-42786,5972,27.69601042721917,68.0264855728747,27.15769326197143
